time,,values
11:18:45,40725.52,-91
11:18:45,40725.54,-67
11:18:45,40725.54,-61
11:18:45,40725.55,-49
11:18:45,40725.56,-41
11:18:45,40725.57,-38
11:18:45,40725.58,-32
11:18:45,40725.59,-36
11:18:45,40725.60,-35
11:18:45,40725.61,-26
11:18:45,40725.62,-26
11:18:45,40725.63,-8
11:18:45,40725.64,7
11:18:45,40725.65,43
11:18:45,40725.66,81
11:18:45,40725.67,106
11:18:45,40725.68,133
11:18:45,40725.69,135
11:18:45,40725.70,117
11:18:45,40725.71,78
11:18:45,40725.72,20
11:18:45,40725.73,-8
11:18:45,40725.74,-38
11:18:45,40725.75,-59
11:18:45,40725.76,-73
11:18:45,40725.77,-88
11:18:45,40725.78,-87
11:18:45,40725.79,-99
11:18:45,40725.80,17
11:18:45,40725.81,320
11:18:45,40725.82,742
11:18:45,40725.83,1012
11:18:45,40725.84,1061
11:18:45,40725.85,911
11:18:45,40725.86,616
11:18:45,40725.87,167
11:18:45,40725.88,-235
11:18:45,40725.89,-418
11:18:45,40725.90,-397
11:18:45,40725.91,-324
11:18:45,40725.92,-292
11:18:45,40725.93,-243
11:18:45,40725.94,-202
11:18:45,40725.95,-168
11:18:45,40725.96,-159
11:18:45,40725.97,-167
11:18:45,40725.98,-151
11:18:45,40725.99,-136
11:18:45,40726.00,-113
11:18:46,40726.01,-87
11:18:46,40726.02,-61
11:18:46,40726.04,-28
11:18:46,40726.04,-7
11:18:46,40726.05,25
11:18:46,40726.06,64
11:18:46,40726.07,84
11:18:46,40726.08,86
11:18:46,40726.09,64
11:18:46,40726.10,16
11:18:46,40726.11,-34
11:18:46,40726.12,-87
11:18:46,40726.13,-125
11:18:46,40726.14,-164
11:18:46,40726.15,-188
11:18:46,40726.16,-182
11:18:46,40726.17,-172
11:18:46,40726.18,-155
11:18:46,40726.19,-134
11:18:46,40726.20,-113
11:18:46,40726.21,-97
11:18:46,40726.22,-101
11:18:46,40726.23,-88
11:18:46,40726.24,-79
11:18:46,40726.25,-71
11:18:46,40726.26,-68
11:18:46,40726.27,-81
11:18:46,40726.28,-78
11:18:46,40726.29,-78
11:18:46,40726.30,-65
11:18:46,40726.31,-50
11:18:46,40726.32,-41
11:18:46,40726.33,-30
11:18:46,40726.34,-34
11:18:46,40726.35,-36
11:18:46,40726.36,-31
11:18:46,40726.37,-28
11:18:46,40726.38,-14
11:18:46,40726.39,13
11:18:46,40726.40,63
11:18:46,40726.41,108
11:18:46,40726.42,123
11:18:46,40726.43,122
11:18:46,40726.44,104
11:18:46,40726.45,72
11:18:46,40726.46,43
11:18:46,40726.47,13
11:18:46,40726.48,-4
11:18:46,40726.49,-26
11:18:46,40726.50,-41
11:18:46,40726.51,-52
11:18:46,40726.52,-77
11:18:46,40726.53,-71
11:18:46,40726.54,137
11:18:46,40726.55,522
11:18:46,40726.56,926
11:18:46,40726.57,1080
11:18:46,40726.58,1031
11:18:46,40726.59,799
11:18:46,40726.60,468
11:18:46,40726.61,37
11:18:46,40726.62,-273
11:18:46,40726.63,-393
11:18:46,40726.64,-352
11:18:46,40726.65,-293
11:18:46,40726.66,-264
11:18:46,40726.67,-250
11:18:46,40726.68,-223
11:18:46,40726.69,-196
11:18:46,40726.70,-173
11:18:46,40726.71,-164
11:18:46,40726.72,-163
11:18:46,40726.73,-150
11:18:46,40726.74,-137
11:18:46,40726.75,-117
11:18:46,40726.76,-87
11:18:46,40726.77,-56
11:18:46,40726.78,-12
11:18:46,40726.79,16
11:18:46,40726.80,40
11:18:46,40726.81,52
11:18:46,40726.82,45
11:18:46,40726.83,38
11:18:46,40726.84,14
11:18:46,40726.85,-33
11:18:46,40726.86,-105
11:18:46,40726.87,-179
11:18:46,40726.88,-206
11:18:46,40726.89,-202
11:18:46,40726.90,-177
11:18:46,40726.91,-153
11:18:46,40726.92,-141
11:18:46,40726.93,-127
11:18:46,40726.94,-124
11:18:46,40726.95,-118
11:18:46,40726.96,-108
11:18:46,40726.97,-96
11:18:46,40726.98,-72
11:18:46,40726.99,-62
11:18:46,40727.00,-54
11:18:47,40727.01,-43
11:18:47,40727.02,-42
11:18:47,40727.03,-32
11:18:47,40727.04,-36
11:18:47,40727.05,-33
11:18:47,40727.06,-26
11:18:47,40727.07,-17
11:18:47,40727.08,2
11:18:47,40727.09,9
11:18:47,40727.10,12
11:18:47,40727.11,17
11:18:47,40727.12,29
11:18:47,40727.13,71
11:18:47,40727.14,106
11:18:47,40727.15,133
11:18:47,40727.16,139
11:18:47,40727.17,126
11:18:47,40727.18,104
11:18:47,40727.19,65
11:18:47,40727.20,34
11:18:47,40727.21,3
